id,name,symbol,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,infinite_supply,cmc_rank,last_updated,USD_price,USD_volume_24h,USD_%change_24h,USD_market_cap,platform
2223,BLOCKv,VEE,20,2017-11-28T00:00:00.000Z,,0.0,3646271241.2002554,False,5060,2023-11-15T12:41:59.175Z,0.002373350889721062,1242.12,-4.1927304,0.0,
8232,UniDex,UNIDX,47,2021-01-11T00:00:00.000Z,4000000.0,0.0,0,False,5061,2023-11-15T12:41:59.175Z,1.5827523599158837,1236.79,-1.07600942,0.0,
11413,Ceres,CERES,3,2021-08-26T07:50:11.000Z,25000.0,0.0,23805,False,5062,2023-11-15T12:41:59.175Z,16.36169661233438,1214.83,2.80875682,0.0,
25083,Troll Face,TROLL,5,2023-05-08T15:31:41.000Z,2008091900000000.0,0.0,2008091900000000,False,5063,2023-11-15T12:41:59.175Z,2.9198279312e-10,1231.31,0.26496738,0.0,
18259,FARM ME,FAME,5,2022-02-22T08:22:13.000Z,1100000000.0,0.0,1100000000,False,5064,2023-11-15T12:41:59.175Z,0.0010263855224367582,1230.21,0.40481642,0.0,
24869,WSB Coin,WSB,6,2023-05-02T11:34:46.000Z,69420000000.0,0.0,58808323232,False,5065,2023-11-15T12:41:59.175Z,2.31884218455882e-06,1228.14,-3.79084674,0.0,
20572,Darüşşafaka Spor Kulübü Token,DSK,1,2022-06-13T08:21:39.000Z,4600000.0,0.0,4600000,False,5066,2023-11-15T12:41:59.175Z,0.1511601863655966,1228.03,2.84178168,0.0,
9207,Metaverse Index,MVI,10,2021-04-13T00:00:00.000Z,39602.0,0.0,39602.22521405,False,5067,2023-11-15T12:41:59.175Z,13.382691015549305,1225.24,0.44735195,0.0,
27230,NexAI,NEX,2,2023-06-26T16:20:13.000Z,1000000000.0,0.0,1000000000,False,5068,2023-11-15T12:41:59.175Z,0.00041773648236121747,1221.67,-4.85978619,0.0,
17057,Diyarbekirspor Token,DIYAR,1,2022-01-10T05:02:24.000Z,1000000.0,0.0,599749,False,5069,2023-11-15T12:41:59.175Z,0.15470854754788763,1221.0,3.0164206,0.0,
25143,XAI,XAI,2,2023-05-10T05:16:21.000Z,100000000000000.0,0.0,100000000000000,False,5070,2023-11-15T12:41:59.175Z,2.03251375329e-09,1263.91,-3.90112955,0.0,
19932,Xodex,XODEX,7,2022-05-04T09:44:32.000Z,10000000000.0,0.0,9300000000,False,5071,2023-11-15T12:41:59.175Z,0.00011410989371276775,1216.02,-3.01986207,0.0,
26284,BARNEY COIN,$BARNEY,1,2023-05-30T07:40:28.000Z,3959872820278614.0,0.0,3959872820278614.5,False,5072,2023-11-15T12:41:59.175Z,4.35254144e-12,1215.43,66.92275525,0.0,
18984,Philcoin,PHL,15,2022-03-22T07:37:36.000Z,,0.0,5000000000,False,5073,2023-11-15T12:41:59.175Z,0.0026959127326262352,1215.26,9.37073546,0.0,
27839,Treat,TREAT,8,2023-08-15T10:45:47.000Z,3333333333.0,0.0,3333333333,False,5074,2023-11-15T12:41:59.175Z,0.00042434579739024315,1214.74,-5.83239815,0.0,
21946,Cramer Coin,CRAMER,11,2022-09-26T11:17:47.000Z,1000000000.0,0.0,1000000000,False,5075,2023-11-15T12:41:59.175Z,0.0006355949479077267,1214.31,-4.3801052,0.0,
8508,PoolTogether,POOL,15,2021-02-18T00:00:00.000Z,10000000.0,0.0,10000000,False,5076,2023-11-15T12:41:59.175Z,0.5833207273613599,1203.23,-1.80389992,0.0,
789,Nexus,NXS,5,2015-01-25T00:00:00.000Z,78000000.0,0.0,76494854,False,5077,2023-11-15T12:41:59.175Z,0.034244062837403895,1194.65,-9.71058795,0.0,
19940,Revenant,GAMEFI,3,2022-05-04T11:36:57.000Z,3000000.0,0.0,3000000,False,5078,2023-11-15T12:41:59.175Z,0.19657500561262803,1198.37,-0.39186136,0.0,
23051,Honor World Token,HWT,4,2022-12-22T14:53:18.000Z,1000000000.0,0.0,400000000,False,5079,2023-11-15T12:41:59.175Z,0.0057856752014008766,1187.65,-6.0418053,0.0,
21415,Wrapped WDOGE,WWDOGE,57,2022-08-16T15:24:22.000Z,,0.0,26103715.379,False,5080,2023-11-15T12:41:59.175Z,0.06860295699061804,1083.89,-4.77342029,0.0,
14825,Viblos,VIBLO,3,2021-11-19T06:00:18.000Z,3000000000.0,0.0,3000000000,False,5081,2023-11-15T12:41:59.175Z,0.00014205521850052847,1121.76,0.02305124,0.0,
6697,TriipMiles,TIIM,3,2020-08-24T00:00:00.000Z,500000000.0,0.0,400000000,False,5082,2023-11-15T12:41:59.175Z,0.00034345538968118613,1166.44,1.64259242,0.0,
25755,"Wagmi coin ""WAGMI""",WAGMI,2,2023-05-23T08:14:27.000Z,420690000000000.0,0.0,184469252517791,False,5083,2023-11-15T12:41:59.175Z,2.054086996e-11,1164.48,36.54800106,0.0,
16296,Battle Saga,BTL,2,2021-12-20T16:41:38.000Z,300000000.0,0.0,300000000,False,5084,2023-11-15T12:41:59.175Z,0.0006507137643258164,1164.26,0.68368048,0.0,
22412,Tortuga Finance Aptos,tAPT,37,2022-10-27T04:27:30.000Z,,0.0,0,False,5085,2023-11-15T12:41:59.175Z,6.8867433950295975,1162.42,-0.44915178,0.0,
18087,SatoshiSwap,SWAP,5,2022-02-14T17:56:46.000Z,1000000000000.0,0.0,1000000000000,False,5086,2023-11-15T12:41:59.176Z,1.064153955924029e-05,1159.1,-0.93896331,0.0,
